Date,Open,High,Low,Close,Adjsutment close,Volume
12-12-1980,-0.020162469,-0.02028186,-0.019938521,-0.02013537,-0.019572529,0.924249933
15-12-1980,-0.02046811,-0.020613423,-0.020275488,-0.020469084,-0.019874165,-0.103113117
16-12-1980,-0.020912728,-0.021055555,-0.020724828,-0.020914086,-0.020276366,-0.348983146
17-12-1980,-0.020801586,-0.020917404,-0.020584425,-0.020775039,-0.020150675,-0.416573854
18-12-1980,-0.020634823,-0.020751573,-0.020415891,-0.020608132,-0.019999857,-0.462105341
19-12-1980,-0.020273611,-0.020392381,-0.020050843,-0.020246608,-0.019673035,-0.549086181
22-12-1980,-0.019967971,-0.0200884,-0.019741957,-0.019940704,-0.019396584,-0.588572971
23-12-1980,-0.019690066,-0.019812098,-0.019461101,-0.019662559,-0.019145142,-0.554973873
24-12-1980,-0.019328854,-0.019452906,-0.019096053,-0.019301036,-0.018818379,-0.551284253
26-12-1980,-0.018661952,-0.018789732,-0.018422069,-0.018633558,-0.018215048,-0.524750386
29-12-1980,-0.01855081,-0.018679211,-0.018309747,-0.01852232,-0.018114542,-0.393023085
30-12-1980,-0.018717523,-0.018872623,-0.018506311,-0.018716987,-0.018290487,-0.478119864
31-12-1980,-0.018939807,-0.019093664,-0.018730955,-0.018939462,-0.018491558,-0.594225155
02-01-1981,-0.018884236,-0.018983143,-0.018646714,-0.018856034,-0.018416178,-0.643603268
05-01-1981,-0.019023164,-0.019176554,-0.018815197,-0.019022891,-0.018566996,-0.594303658
06-01-1981,-0.01935664,-0.019508166,-0.019152215,-0.019356655,-0.018868633,-0.561254078
07-01-1981,-0.01966228,-0.019812098,-0.019461101,-0.019662559,-0.019145142,-0.524357874
08-01-1981,-0.019801208,-0.019950249,-0.019601504,-0.019801607,-0.019270834,-0.579937689
09-01-1981,-0.019467782,-0.019591057,-0.019236456,-0.019440083,-0.018944071,-0.644152786
12-01-1981,-0.019467782,-0.019618687,-0.019292617,-0.019495702,-0.018994324,-0.636459534
13-01-1981,-0.019745637,-0.019894989,-0.019545343,-0.019745988,-0.019220581,-0.638736109
14-01-1981,-0.019745637,-0.019867358,-0.019517262,-0.019718178,-0.019195454,-0.669430611
15-01-1981,-0.019606709,-0.019701577,-0.019376859,-0.019579131,-0.019069762,-0.670215637
16-01-1981,-0.019634495,-0.019784468,-0.01943302,-0.01963475,-0.019120016,-0.672570714
19-01-1981,-0.019245498,-0.019370015,-0.019011812,-0.019217607,-0.018743,-0.573814489
20-01-1981,-0.019439996,-0.019591057,-0.019236456,-0.019440083,-0.018944071,-0.614086304
21-01-1981,-0.019328854,-0.019425276,-0.019096053,-0.019301036,-0.018818379,-0.663778427
22-01-1981,-0.019245498,-0.019342385,-0.019011812,-0.019217607,-0.018743,-0.594931678
23-01-1981,-0.019245498,-0.019370015,-0.019039892,-0.019245417,-0.018768126,-0.680185462
26-01-1981,-0.01935664,-0.019508166,-0.019152215,-0.019356655,-0.018868633,-0.633162427
27-01-1981,-0.019384425,-0.019535796,-0.019208376,-0.019412274,-0.018918944,-0.636459534
28-01-1981,-0.019634495,-0.019784468,-0.01943302,-0.01963475,-0.019120016,-0.620837524
29-01-1981,-0.019884564,-0.020033139,-0.019685746,-0.019885035,-0.019346272,-0.565650222
30-01-1981,-0.02021804,-0.020364751,-0.020050843,-0.020246608,-0.019673035,-0.557642961
02-02-1981,-0.020607037,-0.020751573,-0.020415891,-0.020608132,-0.019999857,-0.636224027
03-02-1981,-0.020412539,-0.020530532,-0.020191246,-0.020385656,-0.019798727,-0.652395555
04-02-1981,-0.020190255,-0.020309491,-0.019966602,-0.02016318,-0.019597655,-0.621858058
05-02-1981,-0.020190255,-0.02028186,-0.019966602,-0.02016318,-0.019597655,-0.691725339
06-02-1981,-0.020162469,-0.02028186,-0.019938521,-0.02013537,-0.019572529,-0.67092216
09-02-1981,-0.020440324,-0.020585792,-0.020275488,-0.020469084,-0.019874165,-0.660795329
10-02-1981,-0.020495895,-0.020613423,-0.020275488,-0.020469084,-0.019874165,-0.655221647
11-02-1981,-0.020662608,-0.020806834,-0.020472052,-0.020663751,-0.02005011,-0.671000662
12-02-1981,-0.020718179,-0.020862094,-0.020528264,-0.02071942,-0.020100421,-0.66848858
13-02-1981,-0.020829371,-0.020972664,-0.020668667,-0.020858467,-0.020226113,-0.68042097
17-02-1981,-0.020746015,-0.020862094,-0.020528264,-0.02071942,-0.020100421,-0.676495842
18-02-1981,-0.020495895,-0.020585792,-0.020275488,-0.020469084,-0.019874165,-0.652081545
19-02-1981,-0.020829371,-0.020972664,-0.020640586,-0.020830658,-0.020200986,-0.641326693
20-02-1981,-0.021135012,-0.021276596,-0.020949472,-0.021136562,-0.020477438,-0.634104457
23-02-1981,-0.021079441,-0.021193706,-0.020865231,-0.021053134,-0.020402058,-0.670058632
24-02-1981,-0.021218368,-0.021359487,-0.021061795,-0.0212478,-0.020578003,-0.660010303
25-02-1981,-0.020940513,-0.021055555,-0.020724828,-0.020914086,-0.020276366,-0.651218016
26-02-1981,-0.020857157,-0.020972664,-0.020640586,-0.020830658,-0.020200986,-0.681520006
27-02-1981,-0.020662608,-0.020751573,-0.020443972,-0.020635941,-0.020024983,-0.667782057
02-03-1981,-0.020634823,-0.020751573,-0.020415891,-0.020608132,-0.019999857,-0.678301401
03-03-1981,-0.020690394,-0.020834464,-0.020500133,-0.02069156,-0.020075236,-0.662836396
04-03-1981,-0.020746015,-0.020889774,-0.020556344,-0.020747229,-0.020125548,-0.671471678
05-03-1981,-0.0207738,-0.020917404,-0.020584425,-0.020775039,-0.020150675,-0.700674631
06-03-1981,-0.020801586,-0.020945034,-0.020640586,-0.020830658,-0.020200986,-0.678850919
09-03-1981,-0.021273939,-0.021414747,-0.021089875,-0.02127561,-0.020603129,-0.665819493
10-03-1981,-0.021524059,-0.021663468,-0.021342651,-0.021525945,-0.020829386,-0.620052499
11-03-1981,-0.021690772,-0.021829249,-0.021539215,-0.021720611,-0.021005389,-0.614871329
12-03-1981,-0.021551844,-0.021663468,-0.021342651,-0.021525945,-0.020829386,-0.511875966
13-03-1981,-0.02157963,-0.021718729,-0.021398812,-0.021581564,-0.020879697,0.091102225
16-03-1981,-0.021412867,-0.021497638,-0.021202198,-0.021386848,-0.020703694,-0.589043986
17-03-1981,-0.021162797,-0.021248966,-0.020949472,-0.021136562,-0.020477438,-0.56619974
18-03-1981,-0.020829371,-0.020917404,-0.020612505,-0.020802848,-0.020175801,-0.590064519
19-03-1981,-0.020857157,-0.021000295,-0.020668667,-0.020858467,-0.020226113,-0.587002919
20-03-1981,-0.020829371,-0.020917404,-0.020612505,-0.020802848,-0.020175801,-0.668331575
23-03-1981,-0.020607037,-0.020696313,-0.02038781,-0.020580322,-0.019974671,-0.642347227
24-03-1981,-0.020607037,-0.020751573,-0.020415891,-0.020608132,-0.019999857,-0.620837524
25-03-1981,-0.020690394,-0.020834464,-0.020528264,-0.02071942,-0.020100421,-0.694786939
26-03-1981,-0.020829371,-0.020972664,-0.020640586,-0.020830658,-0.020200986,-0.676495842
27-03-1981,-0.02102387,-0.021166076,-0.02083715,-0.021025324,-0.020376931,-0.676574344
30-03-1981,-0.021051655,-0.021138445,-0.02083715,-0.021025324,-0.020376931,-0.684817114
31-03-1981,-0.021051655,-0.021193706,-0.020893311,-0.021080943,-0.020427184,-0.663464416
01-04-1981,-0.021135012,-0.021276596,-0.020949472,-0.021136562,-0.020477438,-0.600112847
02-04-1981,-0.020690394,-0.020806834,-0.020472052,-0.020663751,-0.02005011,-0.609454653
03-04-1981,-0.020662608,-0.020779204,-0.020443972,-0.020635941,-0.020024983,-0.66173736
06-04-1981,-0.020746015,-0.020889774,-0.020556344,-0.020747229,-0.020125548,-0.639599637
